Iteration,Timestamp,OffChain_Storage(ms),OnChain_RequestTx(ms),OnChain_ApprovalTx(ms),OCR_Consensus_And_FulfillmentTx(ms),Total_Latency(ms)
1,1773438638657,127.27,391.70,236.30,35210.25,35965.52
2,1773438675494,65.62,126.64,135.22,33513.52,33840.99
3,1773438712464,52.31,90.59,163.10,33667.75,33973.75
4,1773438746511,57.80,102.60,93.33,30796.22,31049.93
5,1773438783760,65.72,155.17,217.42,33814.59,34252.89
6,1773438819948,81.00,129.65,141.93,33371.65,33724.23
7,1773438854061,51.55,101.37,97.85,30867.12,31117.90
8,1773438890449,58.70,101.69,117.06,33643.02,33920.46
9,1773438926834,59.16,122.86,166.92,33672.61,34021.55
10,1773438964933,55.03,91.45,125.01,35768.77,36040.25
11,1773439001358,56.91,176.07,170.51,33611.55,34015.04
12,1773439039787,55.47,105.40,190.03,35761.85,36112.76
13,1773439076086,59.73,136.57,159.64,33587.42,33943.35
14,1773439111813,64.73,107.14,139.18,33756.58,34067.62
15,1773439150089,60.76,115.52,223.65,35562.27,35962.19
16,1773439186539,55.49,107.19,164.91,33824.74,34152.33
17,1773439224844,55.38,104.70,119.45,35710.40,35989.93
18,1773439260395,50.50,97.13,109.99,33659.08,33916.70
19,1773439296840,68.69,170.71,152.46,33831.17,34223.03
20,1773439335378,53.54,122.38,228.41,35815.87,36220.20
21,1773661125775,221.92,451.75,390.15,34196.79,35260.61
22,1773661164545,85.57,171.13,217.69,35421.57,35895.96
23,1773661201289,89.89,124.07,160.44,33549.38,33923.78
24,1773661240255,98.70,126.34,113.75,35598.96,35937.75
25,1773661277609,88.69,117.51,116.68,34077.94,34400.82
26,1773661314608,178.62,929.82,392.24,32539.30,34039.98
27,1773661353235,106.58,120.81,192.27,35287.83,35707.49
28,1773661390197,77.31,135.24,144.62,33647.45,34004.62
29,1773661429106,102.70,127.43,123.91,35607.49,35961.54
30,1773661466176,84.62,133.96,134.54,33792.43,34145.55
31,1773661502996,78.27,169.81,189.08,33425.88,33863.04
32,1773661542033,61.01,99.51,120.32,35772.50,36053.34
33,1773661578985,62.40,97.91,121.33,33756.13,34037.77
34,1773661618489,66.06,112.43,125.81,36340.05,36644.36
35,1773661655322,96.29,159.81,341.49,33303.14,33900.72
36,1773661692298,92.01,171.77,194.66,33597.74,34056.18
37,1773661730924,211.51,239.18,233.60,35031.01,35715.30
38,1773661768052,235.47,268.96,216.12,33473.16,34193.72
39,1773661806747,103.32,155.32,242.24,35314.30,35815.18
40,1773661843735,108.87,148.05,157.75,33644.37,34059.03
41,1773693422997,129.50,259.79,228.67,33777.20,34395.17
42,1773693459490,70.08,140.94,148.50,33549.06,33908.59
43,1773693497631,65.68,152.75,160.30,35751.96,36130.69
44,1773693532130,57.08,123.73,158.81,33660.47,34000.09
45,1773693570050,62.71,99.36,146.26,35624.03,35932.36
46,1773693605512,58.10,119.06,161.60,33657.06,33995.82
47,1773693642088,63.11,87.81,106.63,33810.66,34068.21
48,1773693679101,54.17,113.59,160.13,35713.44,36041.33
49,1773693715057,62.03,131.01,112.06,33658.92,33964.01
50,1773693753043,57.18,106.73,90.78,35748.21,36002.89
51,1773693789022,60.07,107.14,146.10,33686.21,33999.53
52,1773693824082,137.73,184.84,232.17,33583.97,34138.71
53,1773693861992,56.03,95.33,112.65,35735.21,35999.23
54,1773693897909,63.04,99.07,141.00,33666.54,33969.65
55,1773693936019,65.85,105.78,135.53,35847.68,36154.85
56,1773693970999,55.22,130.71,192.10,33700.77,34078.80
57,1773694006831,56.69,132.35,251.03,33440.44,33880.51
58,1773694044885,53.43,104.17,135.80,35737.91,36031.31
59,1773694080680,55.70,101.91,166.73,33657.51,33981.84
60,1773694117693,58.54,98.93,166.57,35820.14,36144.18
61,1773694295528,61.27,130.20,94.00,33558.80,33844.27
62,1773694331810,55.91,139.33,160.82,33790.55,34146.61
63,1773694409603,69.16,122.22,180.93,33590.63,33962.95
64,1773694445634,70.33,92.57,147.38,33780.13,34090.41
65,1773694483784,59.78,124.73,142.40,35830.44,36157.35
66,1773694518447,60.43,100.33,103.34,33579.60,33843.71
67,1773694556402,79.89,107.69,141.16,35779.26,36108.01
68,1773694592219,60.61,142.58,203.98,33463.50,33870.67
69,1773694628441,58.46,105.10,107.95,34017.90,34289.40
70,1773694706036,83.12,100.50,102.94,33956.68,34243.24
71,1773694741925,77.94,111.64,148.65,33595.49,33933.72
72,1773694778735,73.27,160.61,181.83,35678.12,36093.84
73,1773694814673,66.23,159.40,171.17,33577.71,33974.50
74,1773694852488,63.24,145.36,183.09,35580.89,35972.58
75,1773694888428,62.19,129.17,114.74,33731.28,34037.39
76,1773694923192,68.43,174.78,146.31,33629.02,34018.53
77,1773694959187,50.37,109.31,138.45,33813.05,34111.19
78,1773747924445,137.08,342.53,273.91,31494.65,32248.17
79,1773747961422,64.61,190.60,208.51,33519.33,33983.05
80,1773748000457,56.30,190.85,172.02,35622.13,36041.29
81,1773748037923,59.68,118.17,115.99,34184.85,34478.68
82,1773748074566,142.65,220.89,198.86,33083.15,33645.54
83,1773748113419,120.92,216.86,273.34,35246.84,35857.95
84,1773748150411,79.33,146.50,141.01,33629.00,33995.84
85,1773748189885,84.58,141.17,212.43,36038.70,36476.88
86,1773748226520,69.83,109.45,193.45,33267.19,33639.93
87,1773748263484,59.44,91.96,121.58,33693.28,33966.27
88,1773748302487,54.31,170.73,216.50,35567.07,36008.60
89,1773748338978,63.26,100.03,122.68,33764.85,34050.82
90,1773748377333,61.19,116.73,116.19,35757.19,36051.31
91,1773748414461,53.38,94.47,174.90,33664.90,33987.64
92,1773748450257,78.49,107.94,189.38,33742.45,34118.27
93,1773748488801,52.79,119.97,234.12,35829.25,36236.13
94,1773748525657,59.64,160.19,166.25,33991.92,34378.00
95,1773748563532,55.16,105.54,120.63,35219.44,35500.77
96,1773748599373,58.68,90.54,109.10,33824.62,34082.94
97,1773748635789,57.87,129.07,137.33,33729.74,34054.00
