
Iteration,Timestamp,OffChain_Storage(ms),OnChain_RequestTx(ms),OnChain_ApprovalTx(ms),OCR_Consensus_And_FulfillmentTx(ms),Total_Latency(ms)
1,1773416171598,142.26,247.29,239.76,36649.47,37278.78
2,1773416209006,62.37,167.80,153.84,34042.07,34426.08
3,1773416250012,63.75,133.61,283.35,37534.81,38015.52
4,1773416288198,69.13,122.53,98.85,34902.49,35193.00
5,1773416328975,87.46,194.09,184.04,37313.00,37778.60
6,1773416366419,69.24,115.49,176.42,34084.88,34446.02
7,1773416404363,55.46,112.98,104.35,34645.48,34918.27
8,1773416440716,56.02,114.98,178.34,32928.18,33277.53
9,1773416478599,68.48,102.17,120.25,34605.85,34896.76
10,1773416516910,54.58,92.64,85.80,35085.87,35318.89
11,1773416557816,84.88,220.70,254.18,37368.88,37928.65
12,1773416596038,49.97,91.75,90.65,35015.59,35247.96
13,1773416636443,58.67,103.67,136.73,37172.82,37471.89
14,1773416674548,82.59,104.90,92.47,34860.70,35140.66
15,1773416712418,50.25,87.92,110.43,34650.32,34898.92
16,1773416748928,55.53,97.27,106.46,33303.32,33562.57
17,1773416786684,55.64,118.21,101.62,34518.51,34793.99
18,1773416824790,49.28,86.88,101.38,34896.29,35133.83
19,1773416860718,46.87,89.82,123.52,32698.33,32958.54
20,1773416898721,48.27,95.32,150.28,34772.27,35066.14
21,1773654820846,218.73,468.79,313.91,35957.90,36959.33
22,1773654858789,65.07,178.60,116.53,34620.40,34980.61
23,1773654899574,71.13,103.95,118.12,37509.26,37802.46
24,1773654937683,69.68,126.49,158.45,34768.07,35122.69
25,1773654975788,65.65,111.61,171.91,34767.20,35116.37
26,1773655016541,65.93,109.16,189.26,37397.40,37761.75
27,1773655054608,69.92,152.15,196.30,34673.24,35091.61
28,1773655095447,103.25,115.46,126.49,37489.92,37835.13
29,1773655133561,70.62,80.53,113.69,34862.90,35127.74
30,1773655171648,52.14,89.28,99.77,34862.14,35103.33
31,1773655222616,66.58,110.04,181.36,36556.08,36914.06
32,1773655263599,70.65,157.77,348.90,37437.56,38014.87
33,1773655301505,56.19,136.26,171.74,34574.57,34938.76
34,1773655339435,81.79,94.11,164.90,34592.70,34933.49
35,1773655375717,65.66,87.41,124.59,33036.00,33313.67
36,1773655414132,61.65,126.01,177.86,35099.28,35464.80
37,1773655451928,58.60,90.54,102.50,34573.89,34825.52
38,1773655492376,57.59,84.64,109.91,37223.04,37475.18
39,1773655530524,67.58,142.72,147.50,34824.74,35182.54
40,1773655572320,87.09,143.57,263.24,33782.52,34276.42
41,1773690761805,183.48,321.63,239.45,33499.88,34244.44
42,1773690799052,60.79,119.62,134.51,34259.42,34574.34
43,1773690840525,92.24,121.70,143.40,38580.01,38937.35
44,1773690877676,53.51,110.60,137.35,34696.77,34998.24
45,1773690914817,69.01,105.09,163.13,34788.60,35125.83
46,1773690953745,52.51,110.33,150.82,37764.88,38078.54
47,1773690990466,57.35,140.98,199.04,34400.96,34798.33
48,1773691030777,50.75,187.91,11.37,37888.43,38138.46
49,1773691066889,62.09,110.66,158.11,34811.74,35142.61
50,1773691103647,62.30,114.99,172.83,34411.27,34761.38
51,1773691138481,54.66,130.36,187.44,32468.06,32840.52
52,1773691175601,58.16,122.76,158.84,34783.69,35123.45
53,1773691212175,57.57,131.03,153.09,35262.84,35604.53
54,1773691252366,66.67,596.57,524.49,37009.19,38196.92
55,1773691288685,335.30,289.12,327.98,33380.67,34333.07
56,1773691327563,78.56,114.82,155.83,37539.62,37888.83
57,1773691364613,67.25,98.43,110.06,34782.71,35058.46
58,1773691401840,63.98,143.43,106.41,34975.31,35289.12
59,1773691441785,59.28,99.81,205.73,37588.64,37953.45
60,1773691478001,54.74,116.70,196.22,34803.34,35171.00
61,1773691641961,142.62,303.62,266.37,36203.68,36916.29
62,1773691677504,84.85,194.35,182.01,33977.50,34438.70
63,1773691718165,58.73,120.59,126.58,38157.12,38463.02
64,1773691754811,159.46,166.82,179.41,34174.85,34680.54
65,1773691790901,67.52,136.29,127.00,34858.43,35189.23
66,1773691830669,57.18,118.85,141.06,37511.46,37828.55
67,1773691867896,60.04,106.75,174.82,34969.49,35311.11
68,1773691906813,59.54,127.00,150.95,37596.58,37934.07
69,1773691945269,95.19,144.54,146.83,36112.86,36499.42
70,1773692024494,77.42,102.89,198.44,34075.59,34454.33
71,1773692061932,74.21,92.44,191.29,35071.36,35429.31
72,1773692101854,92.34,138.38,114.21,37622.25,37967.18
73,1773692138418,121.02,390.78,261.98,34868.00,35641.78
74,1773692178025,290.72,310.05,288.95,36830.79,37720.52
75,1773692215276,84.00,186.56,202.87,34730.73,35204.16
76,1773692251926,84.96,145.19,137.64,34355.52,34723.30
77,1773692290457,62.36,124.66,348.46,37066.00,37601.48
