Iteration,Timestamp,OffChain_Storage(ms),OnChain_RequestTx(ms),OnChain_ApprovalTx(ms),OCR_Consensus_And_FulfillmentTx(ms),Total_Latency(ms)
1,1773420273830,177.33,324.44,234.96,36116.96,36853.69
2,1773420311622,66.01,180.62,109.80,34522.80,34879.23
3,1773420352022,57.15,231.88,177.12,36962.56,37428.70
4,1773420389881,61.56,125.33,161.74,34527.25,34875.87
5,1773420428951,72.60,192.13,170.25,35581.52,36016.51
6,1773420470058,64.94,190.73,287.64,37365.58,37908.90
7,1773420506887,75.85,177.96,163.20,33394.55,33811.56
8,1773420547203,70.28,114.71,157.89,36970.61,37313.49
9,1773420585899,65.66,140.17,119.99,35435.64,35761.46
10,1773420623805,80.20,147.25,193.19,34523.03,34943.67
11,1773420663701,58.95,179.26,265.88,36444.95,36949.04
12,1773420702142,52.84,116.01,160.22,35220.01,35549.08
13,1773420742320,78.12,198.27,171.41,36768.00,37215.81
14,1773420780987,65.11,122.79,146.82,35379.88,35714.60
15,1773420818540,65.41,141.05,183.65,34146.83,34536.94
16,1773420859320,71.64,118.95,109.06,37529.68,37829.33
17,1773420896839,49.44,124.50,202.79,34183.01,34559.74
18,1773420937547,63.76,111.69,228.61,37343.67,37747.73
19,1773420975785,52.31,98.10,185.08,35002.96,35338.44
20,1773421014300,68.94,133.47,233.05,35093.67,35529.13
21,1773674788046,219.38,447.58,367.64,34104.80,35139.39
22,1773674826075,105.18,235.02,186.17,34896.43,35422.80
23,1773674865621,99.36,331.78,313.74,36195.57,36940.45
24,1773674903886,101.47,136.97,153.89,35194.80,35587.15
25,1773674944261,96.21,190.36,157.72,37098.99,37543.30
26,1773674982516,98.43,205.39,218.04,34878.76,35400.62
27,1773675020252,124.03,180.60,162.05,34428.41,34895.09
28,1773675060821,77.77,346.09,468.76,37013.22,37905.84
29,1773675098784,65.29,135.88,151.46,34776.94,35129.56
30,1773675137783,107.07,141.00,112.50,36321.07,36681.66
31,1773675176469,67.95,198.87,199.25,35300.63,35766.71
32,1773675213602,156.36,191.55,220.31,33716.16,34284.39
33,1773675254796,118.16,234.90,300.35,37698.35,38351.76
34,1773675292515,118.55,178.30,183.65,34558.50,35039.00
35,1773675336197,87.40,296.28,164.09,40285.92,40833.70
36,1773675376711,798.31,2158.71,549.08,34144.97,37651.06
37,1773675417215,142.37,338.71,1126.87,36208.51,37816.47
38,1773675453751,319.07,231.08,504.53,32628.39,33683.07
39,1773675492138,86.11,190.30,509.92,34755.73,35542.06
40,1773675532100,79.89,131.42,143.01,36926.47,37280.79
41,1773675650471,286.89,729.38,513.25,37801.09,39330.60
42,1773675691073,161.95,263.59,271.99,37090.70,37788.24
43,1773675727700,113.89,267.44,265.53,33078.00,33724.85
44,1773675765991,92.76,174.31,205.96,35032.48,35505.52
45,1773675806757,78.88,143.99,146.23,37650.40,38019.49
46,1773675845277,173.78,176.33,330.90,34978.30,35659.31
47,1773675884948,92.21,168.19,156.73,36370.77,36787.90
48,1773675923671,93.82,207.07,154.12,35555.97,36010.98
49,1773675960662,85.14,153.23,185.53,33683.49,34107.40
50,1773676001518,77.33,148.09,186.51,37570.79,37982.73
51,1773676038766,87.90,198.87,167.99,34051.14,34505.90
52,1773676079736,82.39,229.11,149.82,37634.72,38096.05
53,1773676118738,144.77,240.39,136.77,35613.61,36135.54
54,1773676200521,74.85,309.36,615.07,33240.55,34239.84
55,1773676238656,74.80,150.13,140.78,34904.04,35269.74
56,1773676280126,78.20,201.74,235.00,38217.89,38732.83
57,1773676317137,81.49,132.12,286.60,33641.82,34142.04
58,1773676357491,64.96,117.58,173.76,37132.43,37488.74
59,1773676395428,92.02,282.25,272.60,34543.07,35189.94
60,1773676547585,173.27,523.01,353.49,36896.28,37946.05
61,1773676585849,108.76,653.43,341.66,34605.52,35709.36
62,1773676625299,64.40,343.65,239.25,36249.39,36896.69
63,1773676663594,96.30,135.88,183.89,35145.66,35561.73
64,1773676701138,79.74,242.38,247.57,34103.94,34673.62
65,1773676742439,60.21,219.23,180.92,37965.98,38426.34
66,1773676780023,75.16,218.87,228.57,34199.20,34721.80
67,1773676820654,136.37,223.30,234.51,37314.36,37908.55
68,1773676858910,111.18,152.96,172.23,34962.80,35399.17
69,1773676895432,85.34,248.38,153.42,33162.58,33649.72
70,1773676931497,65.21,127.21,149.27,32848.88,33190.57
71,1773676968850,62.48,178.92,177.08,34179.76,34598.24
72,1773677006950,68.10,248.34,358.77,34565.30,35240.52
73,1773677047885,64.35,120.01,163.20,37723.20,38070.76
74,1773677086225,101.81,230.49,210.96,35084.35,35627.61
75,1773677126523,94.55,126.97,161.46,37049.75,37432.74
76,1773677164312,65.89,124.49,223.80,34519.91,34934.09
77,1773677201636,76.65,188.47,413.48,33939.05,34617.65
78,1773677242378,73.81,118.74,149.48,37529.41,37871.44
79,1773677279739,70.78,175.96,260.43,33985.94,34493.11
80,1773677387169,351.88,735.96,490.53,35314.50,36892.87
81,1773677425140,127.16,317.09,295.98,34375.53,35115.75
82,1773677464986,155.34,335.33,213.12,36274.20,36977.99
83,1773677502950,76.09,198.62,356.09,34914.54,35545.34
84,1773677543057,81.97,216.41,210.73,36829.45,37338.56
85,1773677582100,72.03,168.19,291.36,35441.64,35973.21
86,1773677619016,74.32,184.41,290.85,33721.71,34271.29
87,1773677660114,74.75,154.83,206.06,37863.07,38298.71
88,1773677698109,71.81,178.61,148.65,34760.28,35159.34
89,1773677737882,105.79,188.85,220.29,36436.67,36951.60
90,1773677777935,90.47,185.90,148.49,36946.51,37371.36
91,1773677821184,135.24,198.52,251.60,39826.67,40412.03
92,1773677858526,70.54,202.42,209.56,34218.94,34701.47
93,1773677896602,113.65,326.28,196.35,34621.12,35257.40
94,1773677938200,120.22,249.76,144.49,38268.98,38783.44
95,1773677975294,95.59,722.46,575.73,32885.62,34279.40
96,1773678016180,74.74,146.49,238.47,37778.77,38238.46
97,1773678052934,68.04,196.53,480.44,33184.63,33929.65
98,1773678091338,67.92,162.61,120.41,35230.03,35580.96
99,1773678131285,68.91,216.99,296.29,36725.06,37307.25
