Iteration,Timestamp,OffChain_Storage(ms),OnChain_RequestTx(ms),OnChain_ApprovalTx(ms),OCR_Consensus_And_FulfillmentTx(ms),Total_Latency(ms)
1,1773681272964,238.17,611.98,613.20,46487.32,47950.67
2,1773681315671,217.53,591.60,168.30,39339.25,40316.68
3,1773681353809,79.13,245.03,416.36,35257.77,35998.28
4,1773681389638,96.13,169.80,231.77,33326.74,33824.44
5,1773681426051,73.88,171.73,272.13,33513.39,34031.14
6,1773681468715,76.52,209.81,226.35,40530.47,41043.15
7,1773681505134,69.72,139.18,246.39,33594.15,34049.44
8,1773681548970,67.67,156.61,184.13,41094.52,41502.94
9,1773681594515,76.07,250.09,322.44,43331.08,43979.68
10,1773681632633,90.34,112.40,227.93,35445.84,35876.51
11,1773681670295,65.44,118.66,151.67,35725.51,36061.28
12,1773681706672,91.33,168.26,248.04,33582.46,34090.09
13,1773681743130,80.28,193.21,152.11,33731.41,34157.01
14,1773681781599,146.84,176.18,173.40,35671.91,36168.34
15,1773681817366,77.98,159.98,192.95,33778.07,34208.97
16,1773681855572,72.62,211.43,227.19,35399.41,35910.66
17,1773681896905,66.20,178.13,449.24,38363.65,39057.22
18,1773681934550,78.75,180.16,248.97,35555.07,36062.96
19,1773681972309,76.47,145.13,315.64,34947.07,35484.31
20,1773682007695,180.11,269.32,282.19,32393.36,33124.98
21,1773682142358,197.69,647.60,339.30,35354.32,36538.90
22,1773682183509,84.08,173.60,183.39,38379.18,38820.25
23,1773682221504,71.93,349.20,205.48,35576.56,36203.18
24,1773682256960,84.47,158.90,176.30,33422.63,33842.30
25,1773682293219,77.72,156.68,228.41,33612.35,34075.16
26,1773682336548,67.20,185.04,220.05,40643.70,41115.99
27,1773682371841,73.58,174.44,220.40,33467.49,33935.90
28,1773682415338,78.73,143.31,168.89,40917.10,41308.03
29,1773682460987,112.79,162.08,425.15,43568.71,44268.73
30,1773682499087,72.40,148.76,131.26,35545.95,35898.37
31,1773682537544,63.02,158.51,245.16,35835.99,36302.67
32,1773682573641,63.68,172.38,206.86,33501.48,33944.40
33,1773682609054,64.91,192.00,185.64,33629.26,34071.81
34,1773682647512,81.24,166.19,160.53,35876.06,36284.01
35,1773682683596,73.88,217.14,219.67,33393.34,33904.03
36,1773682721465,79.24,209.84,294.32,35458.93,36042.33
37,1773682762224,77.99,249.31,550.39,38159.68,39037.36
38,1773682800567,68.80,115.48,186.35,35800.29,36170.93
39,1773682837162,70.72,221.98,286.16,33846.17,34425.03
40,1773682872177,74.99,127.92,194.22,33301.99,33699.12
41,1773683031512,286.70,495.74,331.23,42235.78,43349.45
42,1773683072505,84.11,166.45,170.93,38651.17,39072.66
43,1773683110582,90.98,398.77,244.07,35302.22,36036.05
44,1773683146687,101.52,163.40,259.44,33414.57,33938.93
45,1773683182917,81.24,212.29,385.69,33348.04,34027.26
46,1773683225520,81.55,161.39,234.14,40610.72,41087.80
47,1773683261639,86.95,143.33,284.89,33480.24,33995.41
48,1773683305195,67.90,136.71,170.19,40983.86,41358.66
49,1773683351084,80.88,280.91,227.95,43903.64,44493.39
50,1773683388839,99.10,187.39,202.09,35081.99,35570.57
51,1773683426404,58.36,129.48,295.57,35698.50,36181.92
52,1773683462706,161.61,475.29,41.35,33436.15,34114.39
53,1773683498902,75.09,119.26,146.25,33682.90,34023.49
54,1773683537186,79.40,155.58,176.15,35710.50,36121.63
55,1773683572756,83.22,368.92,334.09,33384.68,34170.91
56,1773683610997,76.17,125.38,159.89,35696.00,36057.44
57,1773683652082,89.94,148.26,172.16,38495.86,38906.23
58,1773683689637,65.21,128.64,352.32,35661.42,36207.59
59,1773683725888,89.56,173.49,164.44,33643.35,34070.84
60,1773683762132,96.21,105.06,357.32,33511.32,34069.91
61,1773683910949,228.00,364.57,466.42,42931.65,43990.63
62,1773683951800,83.01,207.87,225.61,38861.71,39378.20
63,1773683989814,84.01,488.22,441.02,34876.65,35889.89
64,1773684026015,98.35,137.46,147.22,33527.59,33910.62
65,1773684062259,86.52,222.58,476.07,33183.54,33968.71
66,1773684104836,62.78,204.89,276.61,40540.27,41084.56
67,1773684148628,4478.12,1325.91,34.48,35690.35,41528.86
68,1773684183955,73.09,192.07,323.49,33264.94,33853.58
69,1773684230585,102.84,153.17,184.23,43929.12,44369.36
70,1773684268873,83.69,212.03,215.67,35495.84,36007.23
71,1773684306489,80.00,266.61,252.66,35517.45,36116.72
72,1773684342656,80.86,120.39,259.33,33467.86,33928.44
73,1773684379348,99.65,176.33,244.88,33907.63,34428.49
74,1773684417300,66.59,156.28,235.67,35338.59,35797.14
75,1773684453039,221.39,168.32,151.76,33745.63,34287.09
76,1773684491251,96.97,176.81,440.58,35273.47,35987.83
77,1773684532434,69.37,127.34,206.91,38551.85,38955.47
78,1773684570301,86.49,162.53,174.19,35999.08,36422.29
79,1773684606322,74.00,145.15,199.15,33400.04,33818.34
80,1773684642496,57.68,132.12,140.62,33646.71,33977.13
81,1773684771565,509.90,682.04,443.67,40827.99,42463.59
82,1773684812922,76.57,195.59,267.23,38563.28,39102.68
83,1773684851212,78.88,329.48,344.67,35150.34,35903.37
84,1773684886851,69.01,130.24,259.35,33721.63,34180.22
85,1773684922917,85.20,156.10,330.09,33346.23,33917.63
86,1773684966193,69.92,205.17,356.57,40332.01,40963.66
87,1773685002580,82.96,149.20,175.06,33698.97,34106.19
88,1773685045173,69.12,168.84,261.26,40595.37,41094.59
89,1773685091361,93.25,132.71,142.80,44471.48,44840.24
90,1773685129195,69.09,160.13,121.08,35232.99,35583.29
91,1773685167319,84.00,207.56,247.34,35387.31,35926.21
92,1773685203825,99.55,200.52,154.13,33832.58,34286.78
93,1773685239204,112.38,195.19,231.42,33417.29,33956.28
94,1773685277516,74.57,361.38,19.97,35636.43,36092.35
95,1773685313644,75.20,177.24,175.69,33528.72,33956.84
96,1773685351982,75.61,149.44,196.87,35698.29,36120.20
97,1773685392427,83.58,190.37,378.08,38385.90,39037.92
