Iteration,Timestamp,OffChain_Storage(ms),OnChain_RequestTx(ms),OnChain_ApprovalTx(ms),OCR_Consensus_And_FulfillmentTx(ms),Total_Latency(ms)
1,1773498900751,145.41,314.86,230.63,41545.39,42236.28
2,1773498940335,72.50,125.11,97.39,35181.41,35476.41
3,1773498993565,61.57,221.81,134.09,47307.27,47724.74
4,1773499040915,59.25,133.47,205.60,42580.29,42978.61
5,1773499079611,851.82,485.64,419.38,32598.96,34355.80
6,1773499123951,80.53,202.76,266.36,37874.45,38424.10
7,1773499162765,63.53,123.67,112.91,34088.26,34388.37
8,1773499203314,63.19,107.58,205.15,35104.91,35480.82
9,1773499246230,55.16,81.98,242.26,37082.97,37462.38
10,1773499298452,61.72,104.31,117.38,47368.57,47651.98
11,1773499349450,60.15,127.86,190.64,44430.40,44809.05
12,1773499392345,67.17,166.89,133.47,38049.98,38417.51
13,1773499433290,76.93,108.07,197.79,34480.36,34863.16
14,1773499481267,62.89,100.53,217.68,43049.80,43430.90
15,1773499539621,64.19,198.11,123.41,51924.13,52309.84
16,1773499578898,45.15,111.98,115.76,34455.95,34728.84
17,1773499622572,82.06,95.29,131.34,37322.06,37630.75
18,1773499662072,47.25,86.38,129.75,34717.15,34980.53
19,1773499701313,53.89,116.37,263.61,34276.92,34710.80
20,1773499744237,63.98,140.25,218.77,37971.36,38394.36
21,1773685666430,128.28,344.26,246.57,41567.34,42286.45
22,1773685708400,73.73,161.88,257.17,39470.93,39963.71
23,1773685748717,88.74,201.45,159.98,37378.23,37828.39
24,1773685790274,78.79,149.96,158.46,39561.14,39948.36
25,1773685830105,69.47,149.37,169.10,37551.10,37939.05
26,1773685866848,74.14,192.28,154.75,34227.03,34648.21
27,1773685904094,108.40,159.46,181.48,34740.88,35190.22
28,1773685948030,70.34,146.15,196.53,42085.33,42498.35
29,1773685995546,96.51,167.46,214.31,44917.49,45395.76
30,1773686034375,103.44,191.50,430.04,36772.02,37496.99
31,1773686074550,68.88,113.75,189.60,37654.21,38026.42
32,1773686111643,83.71,156.07,193.39,34493.38,34926.55
33,1773686147521,80.60,150.34,193.96,34181.41,34606.30
34,1773686182944,71.04,137.65,175.85,32833.86,33218.39
35,1773686220574,82.75,212.85,163.44,35048.86,35507.91
36,1773686257339,81.55,155.13,185.62,34182.52,34604.82
37,1773686306264,64.91,119.69,222.36,47221.63,47628.59
38,1773686345897,65.27,145.96,162.55,37152.79,37526.56
39,1773686382166,57.83,232.15,315.98,34394.06,35000.02
40,1773686419165,73.51,173.62,186.92,34432.00,34866.05
41,1773686608880,183.81,221.86,160.32,45473.38,46039.37
42,1773686653190,89.28,207.40,166.78,42378.58,42842.04
43,1773686693489,85.03,129.97,186.02,37736.01,38137.03
44,1773686729480,67.73,170.47,112.87,34324.91,34675.98
45,1773686767831,78.19,271.69,183.66,35574.03,36107.57
46,1773686812021,83.44,207.26,179.00,41541.71,42011.41
47,1773686849447,69.60,203.19,410.28,35356.93,36040.01
48,1773686893835,81.88,196.43,291.91,41643.71,42213.93
49,1773686940642,92.66,144.95,201.24,44945.65,45384.50
50,1773686980332,87.51,141.47,183.84,37113.55,37526.37
51,1773687020849,69.28,136.40,161.56,38832.57,39199.82
52,1773687056957,74.14,169.02,175.40,33473.97,33892.53
53,1773687094280,115.81,286.12,289.09,34457.78,35148.80
54,1773687135196,59.48,118.24,200.31,39237.03,39615.07
55,1773687185726,77.21,206.48,250.85,47822.41,48356.95
56,1773687224967,96.06,153.12,178.04,37486.74,37913.95
57,1773687264620,73.64,146.43,174.24,37091.35,37485.66
58,1773687301668,75.10,105.59,435.15,34289.61,34905.44
59,1773687338539,63.87,156.93,331.85,34268.81,34821.45
60,1773687378422,69.13,138.68,158.35,38116.38,38482.54
61,1773687476340,390.16,721.59,324.86,37989.77,39426.38
62,1773687513912,102.97,270.02,160.65,34819.02,35352.66
63,1773687562761,75.51,273.20,110.01,46916.52,47375.24
64,1773687606741,83.20,156.22,121.43,42601.26,42962.10
65,1773687643533,96.56,186.17,179.90,34256.26,34718.88
66,1773687684054,85.56,126.85,160.95,38092.40,38465.76
67,1773687719372,101.18,220.99,346.97,33433.59,34102.74
68,1773687756962,85.30,160.16,163.49,35051.79,35460.74
69,1773687796706,97.26,246.55,152.15,37172.10,37668.05
70,1773687834028,331.06,190.05,246.23,34483.49,35250.84
71,1773687872412,92.50,219.46,307.97,36558.82,37178.74
72,1773687914436,94.63,159.09,196.32,39496.73,39946.77
73,1773687958789,99.97,232.70,302.87,42593.11,43228.64
74,1773687997861,96.74,169.14,212.04,36508.65,36986.56
75,1773688046384,89.75,435.81,596.49,46247.67,47369.72
76,1773688083030,174.81,216.71,152.06,34021.27,34564.85
77,1773688131850,88.57,270.13,358.09,46941.64,47658.42
78,1773688171644,70.76,149.34,153.32,37342.13,37715.55
79,1773688208348,145.20,345.71,287.16,33879.77,34657.84
