Source,West Central US,West US,West US 2,West US 3,Central US,North Central US,South Central US,East US,East US 2,Canada Central,Canada East,Brazil South,Mexico Central,France Central,France South,Switzerland North,Switzerland West,West Europe,Germany North,Germany West Central,Italy North,Poland Central,Norway East,Norway West,Sweden Central,North Europe,UK South,UK West,Australia Central,Australia Central 2,Australia East,Australia Southeast,New Zealand North,Japan East,Japan West,Korea Central,Korea South,Central India,Jio India West,South India,West India,East Asia,Malaysia West,Southeast Asia,Israel Central,Qatar Central,UAE Central,UAE North,South Africa North,South Africa West
Australia Central,166,147,166,150,178,188,167,202,197,203,211,302,183,245,234,245,241,254,257,251,243,266,270,267,293,260,251,256,,3,8,16,32,107,115,129,123,152,,131,144,122,102,98,293,186,173,176,273,293
Australia Central 2,166,147,167,151,179,188,167,202,198,204,212,303,183,245,234,245,241,254,257,251,243,266,270,267,294,260,251,256,4,,8,13,32,108,115,129,123,154,,130,144,123,102,98,306,185,173,176,273,293
Australia East,161,141,162,147,176,184,163,199,193,201,208,299,180,241,230,242,237,250,254,247,239,263,266,263,294,256,247,253,8,8,,16,28,104,111,126,119,152,,127,140,123,99,94,289,184,169,172,270,289
Australia Southeast,173,151,173,159,188,197,176,212,207,213,221,311,192,236,225,236,231,244,248,241,233,257,260,257,281,250,241,247,16,12,16,,40,114,121,138,130,144,,121,134,119,92,88,291,176,163,166,264,283
Brazil South,157,176,178,163,151,138,141,119,118,131,134,,157,190,186,197,192,186,194,195,194,202,196,193,215,172,180,184,302,302,298,311,288,271,278,294,286,331,,300,283,321,337,332,239,319,283,285,319,303
Canada Central,39,64,59,70,28,17,50,21,23,,14,130,72,99,96,107,102,97,106,106,105,114,108,104,126,85,91,92,202,203,201,212,187,159,166,181,175,244,,211,194,211,226,222,153,229,195,195,231,215
Canada East,48,71,68,76,37,26,58,34,38,15,,135,83,104,100,111,107,101,110,110,109,118,112,109,126,87,96,97,212,212,210,221,196,168,175,190,183,245,,215,198,220,235,231,157,233,198,200,241,224
Central India,244,228,221,244,240,237,247,235,234,244,244,329,256,123,122,134,132,145,136,131,132,156,160,158,202,139,129,142,153,154,153,145,191,128,128,126,122,,,22,5,89,57,56,181,46,41,40,205,223
Central US,18,41,39,47,,15,29,29,37,27,36,150,47,118,115,125,119,115,124,124,123,133,126,124,142,102,111,112,177,177,175,187,162,135,143,157,152,239,,231,214,187,202,198,170,249,213,215,245,229
East Asia,173,159,151,163,187,197,179,216,216,211,219,320,200,182,170,182,177,190,193,187,179,202,206,203,225,196,187,192,122,122,122,118,142,53,50,41,33,90,,66,80,,35,36,224,123,108,111,209,229
East US,50,71,68,59,28,19,36,,10,20,32,117,54,86,83,94,89,83,92,93,92,101,95,91,111,70,78,80,200,200,198,211,183,163,171,185,179,234,,198,181,214,226,222,137,212,182,183,217,200
East US 2,48,66,69,53,36,26,31,10,,23,36,116,49,84,87,98,94,88,96,90,95,104,99,95,113,76,81,84,195,195,193,204,181,167,171,189,178,233,,202,185,215,236,228,133,214,187,187,212,196
France Central,130,153,152,135,120,104,111,88,85,100,103,190,129,,15,17,13,13,18,12,21,29,30,27,40,19,11,15,244,245,241,236,262,214,217,212,207,123,,130,113,182,153,148,53,141,112,114,156,140
France South,130,153,150,137,116,101,117,84,89,96,100,186,132,15,,14,10,23,26,20,12,37,38,36,48,29,20,25,234,234,230,225,258,203,206,201,196,122,,118,102,171,143,139,41,117,102,103,154,138
Germany North,139,162,160,147,125,111,125,95,98,107,110,194,142,19,27,16,19,15,,11,22,16,20,26,31,27,21,23,258,257,254,248,276,240,229,225,219,142,,141,125,194,169,165,64,150,125,126,170,153
Germany West Central,136,159,158,142,124,110,119,94,92,106,109,195,138,12,19,9,12,12,10,,14,22,22,25,34,26,17,22,250,250,247,241,272,219,222,217,212,130,,134,117,187,161,157,57,143,118,119,162,146
Indonesia Central,197,183,176,200,212,221,216,238,243,235,243,343,234,165,154,165,160,173,177,170,162,,189,186,,179,171,176,110,110,107,100,131,85,82,77,72,68,87,50,,49,21,17,199,,92,95,193,211
Israel Central,182,204,212,197,171,157,172,139,135,154,155,239,191,52,41,51,53,66,63,57,49,72,83,78,94,78,210,211,291,306,288,291,314,257,259,269,266,179,,176,151,224,207,184,,154,143,151,198,187
Italy North,138,160,159,144,123,111,125,93,97,105,109,194,140,21,12,9,10,23,20,14,,31,33,35,48,35,27,32,242,242,239,233,266,211,214,209,204,131,,127,110,179,153,149,49,121,110,111,162,146
Japan East,121,107,100,113,136,145,129,164,166,159,167,270,149,214,202,213,209,234,239,219,211,249,247,234,277,232,230,234,107,107,103,114,127,,12,29,20,126,,106,119,53,76,73,257,163,148,151,249,268
Japan West,128,115,107,120,143,152,136,172,171,166,174,277,157,216,205,216,211,224,228,221,213,237,240,237,263,239,222,227,114,114,110,120,135,12,,18,13,127,,101,114,49,73,69,258,160,143,146,244,263
Jio India West,,,,,,,,,,,,,282,,,,,,,,150,166,,,,,,,,,,,212,,,,,,,,,,76,,200,,,,,
Korea Central,144,130,123,136,158,168,154,187,192,181,189,294,171,213,201,212,208,220,224,218,210,233,236,233,273,227,218,223,129,129,126,138,150,29,19,,8,123,,97,111,41,69,65,269,160,139,142,240,259
Korea South,137,124,116,129,152,162,145,180,180,175,183,286,164,207,195,207,202,215,219,212,204,227,231,228,260,221,212,218,123,123,119,130,144,21,14,8,,123,,92,105,33,64,59,267,156,134,137,235,254
Malaysia West,188,175,167,191,203,212,208,228,235,227,234,336,225,154,143,156,150,164,168,162,154,,180,177,,170,159,165,102,101,99,92,122,77,73,69,64,58,76,35,,35,,9,207,,77,80,178,197
Mexico Central,44,52,73,40,47,56,24,55,50,72,82,156,,128,131,142,137,132,140,137,139,148,142,139,164,117,127,131,182,182,179,191,169,148,156,170,162,255,,252,229,199,224,220,190,270,228,230,257,240
